"prior_id","hyperparameter","posterior_median","effective_sample_size","geweke_z","geweke_p_value","n_draw","n_burn","acceptance_rate","stable_draw_share","median_log_likelihood"
"published_baseline","lambda",0.620095322155161,6226.22231701557,0.0643800786732141,0.948667592030936,60000,15000,0.288844444444444,0.7525,453.323496868393
"published_baseline","alpha",1.17339051360606,1102.95227693807,0.823375250649256,0.410294632778614,60000,15000,0.288844444444444,0.7525,453.323496868393
"mn_random_walk","lambda",0.485190082157027,9313.68246096204,0.112612643145571,0.910337661035058,120000,30000,0.411622222222222,0.8745,394.723601313292
"mn_random_walk","alpha",1.15202539960314,817.600174913384,-0.328280755802591,0.742699393302112,120000,30000,0.411622222222222,0.8745,394.723601313292
"mn_zero_mean","lambda",1.27699010918119,3127.70251522283,1.28740353858462,0.197953671606116,60000,15000,0.104888888888889,0.8915,350.038492627861
"mn_zero_mean","alpha",1.48222998850887,1259.72771996686,1.10119998841677,0.270809626759514,60000,15000,0.104888888888889,0.8915,350.038492627861
"mn_soc","lambda",0.622121786866055,5219.59430314305,0.748380268670948,0.454230820565447,60000,15000,0.2418,0.749,415.863670570264
"mn_soc","alpha",1.17790886055551,1020.72994499125,0.237699330905335,0.812114302659398,60000,15000,0.2418,0.749,415.863670570264
"mn_sur","lambda",0.467991092445218,5244.57022812115,1.22781440620882,0.219516646419434,60000,15000,0.418933333333333,0.864,432.651145002721
"mn_sur","alpha",1.13928348084888,373.855008027313,1.42940720787728,0.152887227929993,60000,15000,0.418933333333333,0.864,432.651145002721
